(25, 2.7)
(50, 4.9)
(75, 7.3)
(100, 9.4)
(250, 23.3)
(500, 50.6)
(750, 83.7)
\hline
(25, 2.7)
(50, 5.0)
(75, 7.3)
(100, 9.0)
(250, 20.7)
(500, 41.3)
(750, 63.1)
(1000, 85.2)
(1500, 131.9)
(2000, 180.0)
\hline
(25, 3.1)
(50, 6.3)
(75, 8.5)
(100, 10.8)
(250, 24.3)
(500, 47.0)
(750, 73.3)
(1000, 95.9)
(1500, 136.8)
(2000, 187.7)
\hline
(25, 2.8)
(50, 5.8)
(75, 8.9)
(100, 12.5)
(250, 33.2)
(500, 68.6)
(750, 114.1)
\hline
(25, 2.9)
(50, 5.9)
(75, 8.7)
(100, 11.9)
(250, 31.1)
(500, 58.9)
(750, 88.7)
(1000, 119.7)
(1500, 180.3)
(2000, 236.2)
\hline
(25, 3.6)
(50, 6.6)
(75, 9.7)
(100, 13.2)
(250, 30.7)
(500, 58.0)
(750, 87.0)
(1000, 124.1)
(1500, 179.0)
(2000, 237.4)
\hline
(25, 2.3)
(50, 4.4)
(75, 6.3)
(100, 8.2)
(250, 22.1)
(500, 51.9)
(750, 89.5)
\hline
(25, 2.4)
(50, 4.4)
(75, 6.6)
(100, 8.2)
(250, 20.2)
(500, 41.2)
(750, 64.6)
(1000, 89.3)
(1500, 144.5)
(2000, 188.7)
\hline
(25, 2.9)
(50, 5.3)
(75, 7.0)
(100, 9.4)
(250, 23.1)
(500, 44.5)
(750, 69.7)
(1000, 85.3)
(1500, 136.6)
(2000, 174.8)
\hline
(25, 2.4)
(50, 4.6)
(75, 6.6)
(100, 9.1)
(250, 23.9)
(500, 55.8)
(750, 99.8)
\hline
(25, 2.5)
(50, 4.6)
(75, 6.5)
(100, 8.8)
(250, 20.6)
(500, 41.9)
(750, 63.6)
(1000, 86.1)
(1500, 135.4)
(2000, 188.3)
\hline
(25, 3.3)
(50, 5.0)
(75, 7.5)
(100, 10.3)
(250, 22.9)
(500, 41.7)
(750, 61.9)
(1000, 84.4)
(1500, 128.0)
(2000, 171.4)
