(25, 18.0)
(50, 15.1)
(75, 15.8)
(100, 16.2)
(250, 15.5)
(500, 14.7)
(750, 14.9)
\hline
(25, 138.6)
(50, 130.9)
(75, 149.2)
(100, 136.1)
(250, 136.7)
(500, 137.7)
(750, 147.0)
(1000, 135.0)
(1500, 144.4)
(2000, 150.0)
\hline
(25, 1386.5)
(50, 1717.8)
(75, 1663.1)
(100, 1600.7)
(250, 1728.6)
(500, 1719.6)
(750, 1686.8)
(1000, 1841.6)
(1500, 1705.7)
(2000, 1560.6)
\hline
(25, 23.5)
(50, 21.2)
(75, 21.9)
(100, 20.9)
(250, 21.5)
(500, 22.2)
(750, 24.5)
\hline
(25, 178.1)
(50, 161.3)
(75, 176.0)
(100, 164.3)
(250, 183.3)
(500, 180.0)
(750, 193.3)
(1000, 175.8)
(1500, 187.9)
(2000, 175.6)
\hline
(25, 1847.2)
(50, 1887.8)
(75, 1788.6)
(100, 1868.8)
(250, 1845.6)
(500, 1778.1)
(750, 1644.8)
(1000, 1875.0)
(1500, 1991.3)
(2000, 1820.0)
\hline
(25, 15.8)
(50, 13.9)
(75, 14.7)
(100, 16.0)
(250, 16.1)
(500, 14.2)
(750, 16.0)
\hline
(25, 138.4)
(50, 158.6)
(75, 134.9)
(100, 139.1)
(250, 138.7)
(500, 151.3)
(750, 170.8)
(1000, 152.9)
(1500, 136.6)
(2000, 154.3)
\hline
(25, 1546.9)
(50, 1483.5)
(75, 1516.0)
(100, 1494.9)
(250, 1686.3)
(500, 1471.9)
(750, 1617.5)
(1000, 1566.5)
(1500, 1606.4)
(2000, 1502.5)
\hline
(25, 17.4)
(50, 16.7)
(75, 16.6)
(100, 15.8)
(250, 16.6)
(500, 16.5)
(750, 16.9)
\hline
(25, 133.0)
(50, 140.4)
(75, 153.7)
(100, 142.6)
(250, 135.7)
(500, 152.3)
(750, 153.0)
(1000, 144.5)
(1500, 136.6)
(2000, 150.1)
\hline
(25, 1524.4)
(50, 1427.2)
(75, 1500.9)
(100, 1754.1)
(250, 1719.5)
(500, 1501.3)
(750, 1361.3)
(1000, 1382.7)
(1500, 1330.6)
(2000, 1423.7)
